iter	Passed	Remaining
0	1	102
1	1	93
2	2	87
3	3	80
4	4	80
5	5	79
6	5	77
7	6	76
8	7	75
9	8	74
10	9	73
11	9	72
12	10	71
13	11	71
14	12	70
15	13	71
16	14	70
17	15	69
18	16	68
19	16	67
20	17	66
21	18	65
22	19	64
23	20	63
24	21	63
25	21	62
26	22	61
27	23	60
28	24	59
29	25	58
30	25	57
31	26	56
32	27	56
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	50
39	33	50
40	34	49
41	34	47
42	35	47
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	40	41
49	41	41
50	42	40
51	42	39
52	43	38
53	44	37
54	45	36
55	45	36
56	46	35
57	47	34
58	48	33
59	49	32
60	50	32
61	50	31
62	51	30
63	52	29
64	53	28
65	54	27
66	54	27
67	56	26
68	57	25
69	58	25
70	59	24
71	60	23
72	61	22
73	62	21
74	63	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	70	16
81	71	15
82	72	14
83	73	13
84	74	13
85	75	12
86	75	11
87	76	10
88	77	9
89	78	8
90	79	7
91	80	6
92	81	6
93	82	5
94	83	4
95	84	3
96	85	2
97	86	1
98	87	0
99	88	0
