iter	Passed	Remaining
0	138	138642
1	140	70096
2	142	47200
3	143	35716
4	144	28770
5	145	24134
6	146	20814
7	147	18326
8	149	16408
9	150	14872
10	151	13606
11	152	12545
12	153	11650
13	154	10899
14	156	10259
15	157	9677
16	158	9163
17	159	8706
18	160	8296
19	161	7925
20	162	7592
21	163	7287
22	165	7009
23	166	6755
24	167	6522
25	168	6306
26	169	6122
27	171	5937
28	172	5767
29	173	5604
30	174	5452
31	175	5308
32	176	5173
33	177	5046
34	178	4928
35	179	4814
36	180	4707
37	181	4604
38	182	4507
39	184	4425
40	185	4341
41	186	4259
42	187	4180
43	189	4107
44	190	4035
45	191	3966
46	192	3899
47	193	3835
48	194	3775
49	195	3717
50	196	3661
51	197	3609
52	199	3558
53	200	3509
54	201	3460
55	202	3414
56	203	3368
57	204	3324
58	205	3281
59	206	3239
60	207	3198
61	208	3161
62	210	3124
63	211	3088
64	212	3053
65	213	3021
66	214	2992
67	216	2962
68	217	2930
69	218	2899
70	219	2869
71	220	2840
72	221	2813
73	222	2785
74	223	2758
75	224	2732
76	225	2706
77	227	2683
78	228	2661
79	229	2639
80	230	2616
81	231	2596
82	232	2570
83	233	2550
84	235	2529
85	236	2509
86	237	2489
87	238	2469
88	239	2450
89	240	2431
90	241	2412
91	242	2394
92	243	2378
93	244	2360
94	246	2343
95	247	2327
96	248	2310
97	249	2293
98	250	2277
99	251	2262
100	252	2247
101	253	2232
102	254	2218
103	255	2203
104	256	2189
105	257	2175
106	259	2165
107	260	2153
108	261	2139
109	262	2126
110	264	2115
111	265	2102
112	266	2090
113	267	2077
114	268	2065
115	269	2053
116	270	2040
117	271	2029
118	272	2017
119	273	2007
120	275	1997
121	275	1985
122	277	1975
123	278	1965
124	279	1954
125	280	1944
126	281	1932
127	282	1922
128	283	1914
129	284	1905
130	285	1896
131	286	1886
132	287	1877
133	289	1870
134	290	1862
135	291	1853
136	292	1845
137	294	1836
138	295	1828
139	296	1819
140	297	1811
141	297	1800
142	299	1792
143	300	1784
144	301	1776
145	302	1768
146	303	1762
147	304	1755
148	306	1748
149	307	1741
150	308	1734
151	309	1726
152	310	1719
153	311	1712
154	312	1706
155	314	1700
156	315	1693
157	316	1686
158	317	1681
159	319	1676
160	320	1669
161	321	1664
162	322	1658
163	324	1653
164	325	1647
165	326	1641
166	327	1635
167	329	1629
168	330	1623
169	331	1617
170	332	1612
171	334	1608
172	335	1604
173	336	1599
174	338	1593
175	339	1587
176	340	1582
177	341	1576
178	342	1570
179	343	1564
180	344	1559
181	345	1553
182	346	1547
183	347	1543
184	349	1538
185	350	1533
186	351	1528
187	352	1523
188	353	1517
189	354	1512
190	355	1506
191	356	1501
192	358	1497
193	359	1492
194	360	1486
195	361	1482
196	362	1477
197	363	1473
198	365	1470
199	366	1465
200	367	1460
201	368	1455
202	369	1450
203	370	1446
204	371	1442
205	373	1437
206	374	1432
207	375	1428
208	376	1424
209	377	1421
210	379	1417
211	380	1414
212	381	1410
213	382	1406
214	384	1402
215	385	1398
216	386	1394
217	387	1389
218	388	1385
219	389	1381
220	390	1377
221	391	1372
222	392	1368
223	394	1365
224	395	1361
225	396	1357
226	397	1353
227	398	1349
228	399	1345
229	400	1341
230	402	1338
231	403	1334
232	404	1331
233	405	1327
234	406	1323
235	407	1320
236	409	1317
237	410	1313
238	411	1309
239	412	1306
240	413	1302
241	414	1299
242	416	1295
243	417	1292
244	418	1288
245	419	1285
246	420	1282
247	421	1278
248	422	1275
249	424	1273
250	425	1269
251	426	1266
252	427	1263
253	428	1259
254	429	1256
255	431	1252
256	432	1249
257	433	1246
258	434	1242
259	435	1239
260	436	1236
261	437	1233
262	439	1230
263	440	1228
264	441	1225
265	442	1221
266	443	1218
267	444	1215
268	446	1212
269	447	1208
270	448	1205
271	449	1202
272	450	1199
273	451	1196
274	452	1194
275	454	1191
276	455	1188
277	456	1185
278	457	1182
279	458	1179
280	459	1176
281	461	1173
282	462	1170
283	463	1167
284	464	1164
285	465	1162
286	466	1159
287	467	1156
288	469	1154
289	470	1152
290	471	1149
291	472	1146
292	473	1143
293	474	1140
294	476	1137
